holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,weekend,hour_sin,hour_cos,is_clear,has_rain,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,temp_scaled,traffic_volume_scaled,congestion_category
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,19,1,0,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7639201858040672,0.1406080871123987,Medium
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,20,1,0,-0.8660254037844386,0.5000000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6388250065377524,-0.23937042440644554,Medium
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,21,1,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5782443222389737,-0.45225904741634104,Medium
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,22,1,0,-0.5000000000000004,0.8660254037844384,1,0,1,0,0,0,0,0,0,0,0,0,0,0.4641638128451678,-0.8709903342821402,Medium
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,23,1,0,-0.25881904510252157,0.9659258262890681,1,0,1,0,0,0,0,0,0,0,0,0,0,0.3296274879738479,-1.155848397222095,Low
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,0,2,0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.2651129930063163,-1.3858486353202564,Low
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,1,2,0,0.25881904510252074,0.9659258262890683,1,0,1,0,0,0,0,0,0,0,0,0,0,0.17384858549127338,-1.478955952712291,Low
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2,2,0,0.49999999999999994,0.8660254037844387,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.006319943137567954,-1.5031135269545486,Low
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,3,2,0,0.7071067811865475,0.7071067811865476,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.013400802341323985,-1.4558049440634608,Low
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,4,2,0,0.8660254037844386,0.5000000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.13613569520638527,-1.2308375339324364,Low
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,5,2,0,0.9659258262890683,0.25881904510252074,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.20773104937766843,-0.2725870889895498,Medium
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,6,2,0,1.0,6.123233995736766e-17,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.23841477259393265,1.2146135752994365,High
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,8,2,0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.24706915606518803,1.636364558945518,High
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,9,2,0,0.7071067811865476,-0.7071067811865475,1,0,1,0,0,0,0,0,0,0,0,0,0,0.09595913424998387,1.112950450363269,High
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,12,2,0,1.2246467991473532e-16,-1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8425963991791064,0.9247226843923448,High
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,13,2,0,-0.2588190451025208,-0.9659258262890683,1,0,1,0,0,0,0,0,0,0,0,0,0,0.941728428031655,0.8190332970824676,Medium
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,14,2,0,-0.4999999999999997,-0.8660254037844388,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0266987384766961,1.045510555603633,High
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,15,2,0,-0.7071067811865471,-0.7071067811865479,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0943602819792309,1.224175948436997,High
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,16,2,0,-0.8660254037844384,-0.5000000000000004,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0912132334442277,1.4481367929745939,High
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,18,2,0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9755591997829224,0.6861666387500506,Medium
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,19,2,0,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7387437975240507,0.16677879254151115,Medium
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,20,2,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0.545200312621456,-0.18199618558108363,Medium
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,21,2,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,0,0,0,0,0,0,0,0,0,0.45944324004266524,-0.3133529955233596,Medium
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,22,2,0,-0.5000000000000004,0.8660254037844384,1,0,1,0,0,0,0,0,0,0,0,0,0,0.3925684586738801,-0.7461762006971424,Medium
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,23,2,0,-0.25881904510252157,0.9659258262890681,1,0,1,0,0,0,0,0,0,0,0,0,0,0.31467900743259064,-1.1296776917929825,Low
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,0,3,0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.25881889593631446,-1.339546618022596,Low
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,1,3,0,0.25881904510252074,0.9659258262890683,1,0,1,0,0,0,0,0,0,0,0,0,0,0.17384858549127338,-1.4547983784700333,Low
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,2,3,0,0.49999999999999994,0.8660254037844387,1,0,1,0,0,0,0,0,0,0,0,0,0,0.15024572147876072,-1.4834854978827143,Low
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,3,3,0,0.7071067811865475,0.7071067811865476,1,0,1,0,0,0,0,0,0,0,0,0,0,0.06134160036496682,-1.4558049440634608,Low
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,4,3,0,0.8660254037844386,0.5000000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0.03380492568370131,-1.2202685952014487,Low
,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,5,3,0,0.9659258262890683,0.25881904510252074,1,0,1,0,0,0,0,0,0,0,0,0,0,0.004694726734936458,-0.2685608266158402,Medium
,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,6,3,0,1.0,6.123233995736766e-17,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.04093747702258502,1.2226661000468557,High
,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,7,3,0,0.9659258262890683,-0.25881904510252063,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.05431243329634293,1.8774370185713807,High
,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,8,3,0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0.04717988195745922,1.3716378078741114,High
,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,9,3,0,0.7071067811865476,-0.7071067811865475,1,0,1,0,0,0,0,0,0,0,0,0,0,0.2926496676875818,1.0314186372956495,High
,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,10,3,0,0.49999999999999994,-0.8660254037844387,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6230897638627455,0.6761009828157766,Medium
,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,11,3,0,0.258819045102521,-0.9659258262890682,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8095523895615887,0.8175234486923265,Medium
,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,12,3,0,1.2246467991473532e-16,-1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.078625039304224,0.9282456639693407,High
,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,13,3,0,-0.2588190451025208,-0.9659258262890683,1,0,1,0,0,0,0,0,0,0,0,0,0,1.1895585001630267,0.9654885909261546,High
,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,14,3,0,-0.4999999999999997,-0.8660254037844388,1,0,1,0,0,0,0,0,0,0,0,0,0,1.2635141407355632,1.12804893426468,High
,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,15,3,0,-0.7071067811865471,-0.7071067811865479,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3303889221043483,1.2347448871679847,High
,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,16,3,0,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,1.321734538633093,1.5261456264652176,High
,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,17,3,0,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2910508154168288,1.4078741692374976,High
,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,18,3,0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1879849758955274,0.8290989530167416,Medium
,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,19,3,0,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9905076803241797,0.12248990643070547,Medium
,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,20,3,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8787874573316228,-0.1120398768378792,Medium
,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,21,3,0,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0,0,0,0,0,0,0,0,0.826861156504095,-0.2202456781313249,Medium
,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,22,3,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7946039090203314,-0.6379703994036967,Medium
,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,23,3,0,-0.25881904510252157,0.9659258262890681,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7757216178103213,-1.0536819894892138,Low
,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,0,4,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7371702732565514,-1.3249514169178986,Low
,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,1,4,0,0.25881904510252074,0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7237953169827935,-1.445236005332473,Low
,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,3,4,0,0.7071067811865475,0.7071067811865476,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6293838609327473,-1.455301661266747,Low
,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,5,4,0,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15339277001375942,-0.3878388494369873,Medium
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,6,4,0,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07707684303997375,1.1461671149463732,High
,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,7,4,0,0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03380492568370131,1.695248646161021,High
,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,8,4,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.05431243329634293,1.1446572665562322,High
,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,9,4,0,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.09758435065261536,1.0787272201867373,High
,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,10,4,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.09050349144885934,0.7601492098669645,Medium
,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,11,4,0,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.09915787492011473,0.9851166199979889,High
,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,12,4,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0574594818313461,1.3137602862520357,High
,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,13,4,0,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01334911020619184,1.3625787175332646,High
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,14,4,0,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04088578488745287,1.4335415918698966,High
,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,15,4,0,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05111369262621208,1.4436072478041706,High
,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,16,4,0,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03695197421870449,1.4139135627980621,High
,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,17,4,0,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,0.012562348072442164,1.4642418424694323,High
,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,18,4,0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.030709569283830278,1.069164847049177,High
,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,19,4,0,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.08735644291386063,0.404328272590378,Medium
,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,20,4,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.1164666418626255,0.05253359768750103,Medium
,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,21,4,0,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.1266945496013802,-0.14525654142098346,Medium
,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,22,4,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.16052532135264314,-0.4074668785088217,Medium
,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,23,4,0,-0.25881904510252157,0.9659258262890681,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.17311351549265136,-0.7184956468778889,Medium
,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,0,5,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19278256883641118,-1.020968607702823,Medium
,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,1,5,1,0.25881904510252074,0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.21323838431392064,-1.2791526824169517,Low
,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,2,5,1,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.21009133577892194,-1.3662206062484221,Low
,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,4,5,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.33597327717898195,-1.4336605010080579,Low
,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,5,5,1,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3863260537390059,-1.2942511663183627,Low
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,6,5,1,1.0,6.123233995736766e-17,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.46106845644529676,-0.9600713893004653,Medium
,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,7,5,1,0.9659258262890683,-0.25881904510252063,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.4791639855215527,-0.5977077756666006,Medium
,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342,8,5,1,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.4933257039290603,0.041461376159799605,Medium
,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258,9,5,1,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.48545808259155904,0.5024684179495497,Medium
,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861,10,5,1,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3446276606502373,0.8059479443679114,Medium
,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191,11,5,1,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2533632531351899,0.9720312672834327,High
,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669,12,5,1,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.171539991225152,1.2126004441125817,High
,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074,13,5,1,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.08971672931510967,0.9131471800679297,High
,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025,14,5,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.07948882157635492,0.8884863230289584,High
,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153,15,5,1,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.09915787492011473,0.9529065210083121,High
,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024,16,5,1,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.17311351549265136,0.8879830402322446,High
,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779,17,5,1,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.18491494749890547,0.7646787550373879,Medium
,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362,18,5,1,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.22582657845392887,0.5548098288077746,Medium
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860,19,5,1,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.24392210753018484,0.3021618648574967,Medium
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160,20,5,1,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.24392210753018484,-0.05013609284209397,Medium
,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992,21,5,1,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2620176366064453,-0.13468760268999574,Medium
,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202,22,5,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.34305413638273796,-0.028998215380118528,Medium
,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941,23,5,1,-0.25881904510252157,0.9659258262890681,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3871128158727601,-0.6636378220360954,Medium
,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233,0,6,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.40520834494901603,-1.0199620421093958,Medium
,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323,3,6,1,0.7071067811865475,0.7071067811865476,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.4351053060315306,-1.4779493871188636,Low
,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312,4,6,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.4413994031015369,-1.4834854978827143,Low
,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627,5,6,1,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.45241407297404135,-1.3249514169178986,Low
,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508,6,6,1,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.4886051311265578,-0.881559273013128,Medium
,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539,7,6,1,0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5106344708715711,-0.8659575063150032,Medium
,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232,8,6,1,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5106344708715711,-0.5171825281924085,Medium
,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568,9,6,1,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.44926702443903815,0.658486084930797,Medium
,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624,10,6,1,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3949804372102613,0.6866699215467642,Medium
,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529,11,6,1,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3343997529114826,0.6388580558589627,Medium
,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139,12,6,1,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.30135574329396486,0.9458605618543202,High
,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640,13,6,1,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.22110600565142635,1.7012880397215855,High
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589,14,6,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.15659151068389476,1.6756206170891867,High
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429,15,6,1,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.15659151068389476,0.5885297761875926,Medium
,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329,16,6,1,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14321655441013684,0.5382014965162225,Medium
